username,password,address1,address2,creditCard,expDate,firstName,lastName
ed,1234,,,1234567899,24/12,,
jojo,bean,,,1234567890,22/12,Jojo,Bean
user2,1234,Oxford2,London2,111122223333,10/31,User2,User_2
user3,1234,Oxford3,London3,111122223333,10/31,User3,User_3
user4,1234,Oxford4,London4,111122223333,10/31,User4,User_4
user5,1234,Oxford5,London5,111122223333,10/31,User5,User_5
user6,1234,Oxford6,London6,111122223333,10/31,User6,User_6
user7,1234,Oxford7,London7,111122223333,10/31,User7,User_7
user8,1234,Oxford8,London8,111122223333,10/31,User8,User_8
user9,1234,Oxford9,London9,111122223333,10/31,User9,User_9
user10,1234,Oxford10,London10,111122223333,10/31,User10,User_10
